country,country_serial,metric,unit,sector,sub_sector,sub_sub_sector,source_link,source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Djibouti,15,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,56.0,56.1,49.7,56.4,56.6,56.8,55.5,57.2,57.4,57.6,57.9,58.1,54.6,58.6,58.9,59.1,59.8,60.2,62.4,64.7,64.5,65.4,65.0,,
Egypt,16,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,97.7,97.4,97.5,98.8,97.8,99.4,99.0,98.4,99.8,98.9,99.4,99.4,99.7,99.9,99.8,99.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,
Equatorial Guinea,17,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,64.8,64.9,64.9,64.9,64.9,65.0,65.1,65.1,65.2,65.4,66.1,66.1,65.7,65.9,66.0,66.1,66.2,66.4,66.5,66.6,66.7,66.8,67.0,,
Eritrea,18,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,29.3,30.3,32.2,32.4,33.4,34.5,35.6,36.7,37.8,38.9,40.1,41.2,42.3,43.5,44.6,45.8,46.9,48.0,49.1,50.3,51.4,52.5,55.4,,
Eswatini,19,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,20.4,26.9,25.9,28.7,31.4,34.2,35.2,39.8,42.6,38.6,45.6,51.2,54.3,57.5,65.0,64.1,63.4,73.5,74.0,77.0,80.0,82.9,82.3,,
Ethiopia,20,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,12.7,10.2,11.9,13.5,15.2,14.0,18.6,20.3,22.0,23.7,25.5,23.0,29.0,30.8,27.2,29.0,42.9,44.3,44.8,48.0,51.1,54.2,55.0,,
Gabon,21,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,73.6,77.2,77.8,78.5,79.2,81.6,80.5,81.3,82.0,82.7,89.3,88.7,89.3,86.4,87.1,87.3,88.1,86.3,89.6,90.3,91.1,91.8,93.5,,
Gambia,22,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,34.3,29.9,31.5,27.8,34.8,30.5,38.1,39.8,41.5,43.2,46.8,48.3,49.9,51.5,53.0,54.7,56.4,56.2,60.3,62.1,62.2,63.7,65.4,,
Ghana,23,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,43.7,44.8,46.8,48.3,50.8,41.3,55.1,56.9,60.5,61.1,64.2,64.1,56.5,70.7,78.3,74.0,79.3,79.0,80.4,83.5,85.4,86.3,85.1,,
Guinea,24,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,15.2,16.4,17.7,18.9,20.2,20.2,22.8,24.1,25.4,26.7,28.1,29.5,26.2,32.2,33.5,34.9,33.5,35.4,45.0,42.2,44.7,46.8,47.7,,
Kenya,26,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,15.2,17.0,18.9,16.0,22.6,24.5,26.4,28.3,30.3,23.0,19.2,36.2,38.1,40.1,36.0,41.6,53.1,55.8,61.2,69.7,71.5,76.5,76.0,,
Lesotho,27,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,4.3,1.3,3.4,5.4,6.8,9.6,9.7,13.9,16.0,17.0,17.0,22.5,20.6,26.9,27.8,31.8,35.1,33.7,47.0,44.6,47.5,50.4,50.0,,
Liberia,28,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,0.01,0.01,0.01,0.01,0.01,0.04,0.24,3.0,1.3,1.9,5.3,4.1,9.3,9.8,9.4,15.2,17.7,24.2,22.8,23.1,27.6,29.8,31.8,,
Libya,29,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,99.8,96.9,95.2,93.5,91.8,90.1,88.4,86.8,85.1,83.5,81.9,80.3,78.7,77.1,75.5,73.8,72.2,70.6,67.0,68.5,69.4,70.2,70.0,,
Madagascar,30,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,12.6,14.8,14.0,20.3,15.3,16.0,16.8,17.5,18.3,17.4,12.3,14.3,18.7,12.9,23.0,23.8,22.9,24.1,36.5,31.0,32.0,35.1,36.1,,
Malawi,31,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,4.8,5.2,5.6,6.2,6.9,6.6,3.7,7.4,7.8,8.3,8.7,7.6,7.4,9.0,11.9,10.8,11.0,12.7,18.0,11.2,11.5,14.2,14.0,,
Mali,32,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,9.6,10.8,13.0,14.7,16.4,18.2,16.6,21.7,23.4,24.0,27.0,28.8,25.6,32.4,34.2,37.6,38.8,34.8,50.9,47.9,50.6,53.4,53.0,,
Mauritania,33,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,19.1,22.2,21.7,23.0,24.3,18.2,27.0,33.0,30.0,31.1,34.2,35.3,36.4,37.6,38.8,39.5,41.2,42.9,43.6,44.9,45.4,47.7,49.0,,
Mauritius,34,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,99.0,99.2,99.4,99.1,99.0,99.0,99.0,99.0,99.0,99.0,99.4,99.6,99.4,99.4,99.5,99.6,99.7,99.6,99.8,100.0,99.5,99.6,100.0,,
Morocco,35,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,69.8,71.6,73.3,75.1,78.2,78.6,96.5,82.2,84.1,85.9,95.7,96.1,96.4,97.2,97.3,97.3,97.8,100.0,98.1,99.6,100.0,100.0,100.0,,
Mozambique,36,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,6.1,5.7,8.4,8.1,10.7,11.8,13.0,12.4,13.6,15.0,18.9,20.2,21.2,22.4,24.8,24.0,26.2,24.3,31.1,29.7,30.6,31.5,33.2,,
Namibia,37,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,36.5,36.0,36.9,37.8,38.7,39.6,40.5,43.7,42.4,44.1,44.4,42.3,46.4,47.4,48.4,51.6,49.7,52.5,52.3,53.3,52.3,55.2,56.2,,
Niger,38,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,6.5,8.4,8.8,9.3,9.7,7.1,9.3,11.2,11.8,12.3,13.6,14.3,14.4,15.2,15.7,16.6,17.0,17.6,17.6,18.5,18.7,18.6,19.5,,
Nigeria,39,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,43.2,43.9,44.6,52.2,46.1,46.8,47.6,50.1,50.3,50.0,48.0,55.9,53.0,55.6,54.2,52.5,59.3,54.4,56.5,55.4,55.4,59.5,60.5,,
Republic of Congo,13,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,29.4,30.3,31.2,32.1,33.0,33.8,34.9,35.8,36.8,37.1,40.0,40.8,41.6,42.5,43.4,44.3,45.3,46.2,47.0,47.7,48.7,49.7,50.6,,
Rwanda,40,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,6.2,4.7,6.0,7.4,8.7,4.8,11.4,12.8,6.0,15.6,9.7,10.8,17.5,15.2,19.8,22.8,29.4,34.1,38.0,46.6,45.2,48.7,50.6,,
Senegal,42,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,37.7,38.9,36.8,41.9,36.8,47.1,49.9,48.1,49.7,53.5,56.5,56.5,56.5,57.0,61.0,60.5,64.5,61.7,66.0,70.4,64.3,68.0,67.9,,
Seychelles,43,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,94.1,94.4,96.1,94.9,95.2,95.5,99.0,96.1,96.5,96.8,97.0,98.1,98.3,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,
Sierra Leone,44,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,7.7,8.5,9.2,9.9,16.8,11.3,12.2,13.0,12.1,14.6,11.5,14.2,17.2,13.5,18.8,19.7,20.3,23.4,26.1,22.7,26.3,27.5,29.4,,
Somalia,45,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,2.1,4.7,7.4,9.8,12.4,15.0,15.2,20.2,22.9,25.5,52.3,52.0,51.8,51.5,51.4,51.2,51.1,52.1,50.7,49.2,49.9,49.3,48.9,,
South Africa,46,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,72.4,70.2,76.7,78.8,80.6,80.8,80.7,82.0,81.9,82.6,82.8,83.6,85.2,85.2,85.9,85.3,83.9,84.4,84.7,85.0,90.0,89.3,86.5,,
South Sudan,47,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,1.35,1.39,1.43,1.47,1.51,1.55,1.6,0.8,1.3,3.0,1.5,2.8,3.3,3.8,4.3,4.8,5.3,4.2,6.3,6.8,7.3,7.7,8.4,,
Sudan,48,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,23.0,29.4,29.7,29.9,30.2,30.5,30.8,31.1,20.0,29.0,36.0,38.3,40.7,43.1,44.9,48.0,50.5,53.0,55.3,57.6,59.7,61.8,63.2,,
Tanzania,49,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,8.7,9.7,10.7,11.1,11.4,13.8,14.9,15.9,11.5,11.2,14.8,14.2,15.3,16.4,23.5,26.2,32.8,32.1,34.9,37.7,39.9,42.7,45.8,,
Togo,50,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,17.0,19.6,21.3,23.0,24.8,26.5,27.9,30.0,31.8,33.7,30.8,39.7,39.1,41.0,45.7,44.7,46.8,48.0,50.0,52.5,54.1,55.7,57.2,,
Tunisia,51,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,94.8,97.3,97.8,98.4,99.0,99.2,99.4,99.4,99.4,99.5,99.5,99.5,99.5,99.7,99.8,99.9,100.0,100.0,99.8,100.0,99.9,99.9,100.0,,
Uganda,52,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,7.4,8.6,7.8,10.5,11.6,8.9,9.0,14.8,15.9,10.0,12.1,14.6,20.5,13.9,20.4,18.5,26.7,32.4,41.9,41.3,42.1,45.2,47.1,,
Zambia,53,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,16.7,20.2,17.4,18.5,20.3,23.3,24.1,18.5,25.7,26.6,22.0,28.3,29.2,30.1,27.9,31.1,35.4,40.3,40.2,43.0,44.6,46.7,47.8,,
Zimbabwe,54,Access to electricity (% population),%,Electricity,Access,,https://africa-energy-portal.org/database#main-content,Africa Energy Portal,33.7,34.2,34.2,35.1,35.6,36.1,37.2,37.2,37.7,43.4,38.9,36.9,44.0,40.6,32.3,33.7,42.5,44.0,45.4,46.7,52.7,49.0,50.1,,
